PS C:\Users\13299> cd "d:\cuhksz\\Natural language processing\final project"
PS D:\cuhksz\Natural language processing\final project> D:\python13\python.exe sc_gsm8k.py
正在加载 GSM8K 数据集...
为了测试，仅使用前 100 条数据。
--- 运行 Self-Consistency (n=5) ---
ID    | 真实值        | 预测值        | 耗时(s)    | Tokens   | 结果 | 投票详情
--------------------------------------------------------------------------------
0     | 18         | 18         | 26.48    | 1070     | ✅ | {'18': 5}
1     | 3          | 3          | 24.25    | 817      | ✅ | {'3': 5}
2     | 70000      | 70000      | 56.78    | 1717     | ✅ | {'70000': 5}
3     | 540        | 540        | 26.10    | 895      | ✅ | {'540': 5}
4     | 20         | 20         | 34.66    | 1479     | ✅ | {'20': 5}
5     | 64         | 64         | 59.97    | 2002     | ✅ | {'64': 5}
6     | 260        | 260        | 31.51    | 1126     | ✅ | {'260': 5}
7     | 160        | 160        | 56.53    | 1949     | ✅ | {'160': 5}
8     | 45         | 45         | 70.69    | 2474     | ✅ | {'45': 5}
9     | 460        | 460        | 36.87    | 1308     | ✅ | {'460': 5}
10    | 366        | 366        | 35.42    | 1325     | ✅ | {'366': 5}
11    | 694        | 694        | 31.66    | 1229     | ✅ | {'694': 5}
12    | 13         | 13         | 106.12   | 2980     | ✅ | {'13': 3, '12': 2}
13    | 18         | 18         | 67.05    | 2273     | ✅ | {'18': 5}
14    | 60         | 60         | 42.24    | 1482     | ✅ | {'60': 5}
15    | 125        | 125        | 39.52    | 1612     | ✅ | {'125': 5}
16    | 230        | 230        | 29.87    | 1079     | ✅ | {'230': 5}
17    | 57500      | 57500      | 39.06    | 1402     | ✅ | {'57500': 5}
18    | 7          | 7          | 32.71    | 1103     | ✅ | {'7': 5}
19    | 6          | 6          | 60.41    | 2140     | ✅ | {'6': 5}
20    | 15         | 15         | 85.22    | 2788     | ✅ | {'15': 5}
21    | 14         | 14         | 37.68    | 1285     | ✅ | {'14': 5}
22    | 7          | 7          | 27.06    | 1064     | ✅ | {'7': 5}
23    | 8          | 8          | 22.87    | 827      | ✅ | {'8': 5}
24    | 26         | 26         | 33.10    | 1118     | ✅ | {'26': 5}
25    | 2          | 2          | 48.71    | 1740     | ✅ | {'2': 5}
26    | 243        | 243        | 40.17    | 1476     | ✅ | {'243': 5}
27    | 16         | 16.00      | 35.19    | 1299     | ❌ | {'16.00': 4, '16': 1}
28    | 25         | 25         | 25.09    | 946      | ✅ | {'25': 5}
29    | 104        | 104        | 41.63    | 1478     | ✅ | {'104': 5}
30    | 109        | 109        | 35.80    | 1213     | ✅ | {'109': 5}
31    | 80         | 80         | 45.31    | 1629     | ✅ | {'80': 5}
32    | 35         | 35         | 22.57    | 831      | ✅ | {'35': 5}
33    | 70         | 70         | 36.04    | 1197     | ✅ | {'70': 5}
34    | 23         | 23         | 31.23    | 1142     | ✅ | {'23': 5}
35    | 9          | 9          | 28.02    | 1060     | ✅ | {'9': 5}
36    | 75         | 75         | 29.78    | 1059     | ✅ | {'75': 5}
37    | 2          | 2          | 47.69    | 1695     | ✅ | {'2': 5}
38    | 10         | 10         | 43.23    | 1452     | ✅ | {'10': 5}
39    | 18         | 18         | 61.83    | 2209     | ✅ | {'18': 5}
40    | 8          | 12         | 79.44    | 2481     | ❌ | {'8': 2, '12': 3}
41    | 200        | 200        | 55.41    | 2229     | ✅ | {'200': 5}
42    | 26         | 26         | 23.29    | 1051     | ✅ | {'26': 5}
43    | 48         | 48         | 46.92    | 1616     | ✅ | {'48': 5}
44    | 20         | 20         | 47.02    | 1690     | ✅ | {'20.00': 2, '20': 3}
45    | 104        | 104        | 55.98    | 2100     | ✅ | {'104': 5}
46    | 163        | 163        | 46.73    | 1800     | ✅ | {'163': 5}
47    | 800        | 800        | 47.62    | 1674     | ✅ | {'800': 5}
48    | 8          | 8          | 23.00    | 864      | ✅ | {'8': 5}
49    | 30         | 30         | 27.88    | 1034     | ✅ | {'30': 5}
50    | 294        | 294        | 35.10    | 1186     | ✅ | {'294': 5}
51    | 5          | 5          | 32.92    | 1180     | ✅ | {'5': 5}
52    | 15         | 15         | 45.58    | 1664     | ✅ | {'15': 5}
53    | 40         | 40         | 36.28    | 1561     | ✅ | {'40': 5}
54    | 40         | 40         | 50.96    | 1895     | ✅ | {'40': 5}
55    | 14         | 14         | 22.07    | 906      | ✅ | {'14': 5}
56    | 3          | 3          | 27.13    | 951      | ✅ | {'3': 5}
57    | 83         | 83         | 45.24    | 1699     | ✅ | {'83': 5}
58    | 57         | 57         | 40.72    | 1590     | ✅ | {'57': 4, '57.00': 1}
59    | 187        | 187        | 17.86    | 670      | ✅ | {'187': 5}
60    | 17         | 17         | 70.42    | 2240     | ✅ | {'17': 5}
61    | 1430       | 1430       | 25.86    | 1031     | ✅ | {'1430': 5}
